"Subject","t01","t02","t03","t04","t05","t06","t07","t08"
2,37,5,5,42,37,8,14,31
3,28,9,21,23,29,12,33,11
4,26,11,3,36,27,5,6,33
5,31,2,3,41,42,1,5,33
6,30,6,5,37,34,4,7,35
7,10,16,11,18,12,27,10,17
8,21,7,3,32,27,2,3,36
9,0,33,0,34,1,29,0,33
10,33,8,14,27,30,14,15,27
11,24,11,1,44,37,7,6,34
12,23,11,13,33,32,9,22,20
13,30,9,9,27,31,7,8,31
14,31,13,6,35,35,9,12,29
15,19,19,4,41,30,4,19,24
16,36,10,12,32,39,7,21,24
17,22,8,16,19,32,9,15,22
18,29,11,7,32,29,14,10,31
19,14,5,2,19,15,5,3,16
20,28,13,9,35,32,10,14,32
21,32,5,3,44,30,8,6,39
22,7,31,11,33,25,10,23,19
23,20,21,5,40,40,5,15,25
24,20,23,9,37,22,20,10,34
25,27,6,9,34,31,4,11,27
26,33,9,14,27,29,13,11,30
27,18,7,2,35,31,5,9,29
28,23,17,15,29,24,20,15,32
29,20,21,12,31,26,18,19,27
30,26,11,12,27,35,8,25,17
31,2,0,1,5,8,4,5,6
32,17,28,15,28,29,16,24,20
33,18,23,8,31,31,7,22,15
34,31,12,8,38,41,5,15,29
35,25,6,0,42,31,4,6,35
36,25,21,14,28,21,18,18,23
37,9,35,26,20,3,42,6,40
38,20,16,16,30,19,16,14,28
39,32,10,7,36,33,7,8,40
40,44,1,8,40,45,2,1,47
41,16,24,6,40,39,7,18,27
42,41,3,1,46,43,1,0,46
43,46,2,0,44,38,6,8,39
44,17,20,8,31,29,15,13,28
45,25,17,11,34,33,12,6,40
46,29,10,9,38,40,5,13,33
47,34,6,11,32,40,5,14,28
48,20,9,12,22,22,10,11,25
49,37,8,4,42,38,3,5,37
50,23,22,11,35,29,18,17,29
51,6,13,17,4,8,12,14,9
52,32,5,7,36,39,2,11,28
53,35,8,3,44,36,9,9,35
54,18,22,3,39,35,8,21,22
55,24,15,9,36,26,12,8,31
56,26,8,8,36,35,7,10,31
57,33,4,2,40,37,4,6,34
58,31,11,1,45,37,7,5,38
59,27,9,8,37,34,2,9,28
60,44,1,6,41,39,1,7,35
61,23,24,24,22,18,29,20,25
62,33,6,3,40,32,6,2,43
63,43,5,13,31,40,5,16,28
64,21,27,24,24,31,16,24,22
65,21,21,23,24,27,15,17,29
66,35,10,2,46,35,9,7,41
67,31,6,4,38,30,4,3,36
68,16,26,1,40,37,5,26,3
69,38,6,7,37,36,7,8,36
70,22,17,18,25,32,11,17,29
71,24,19,8,38,27,13,18,27
72,32,3,1,41,36,1,5,36
73,34,11,8,36,35,11,10,37
74,26,19,12,33,36,7,19,26
75,23,22,24,23,22,24,24,19
76,29,14,14,32,33,11,16,28
77,17,13,13,27,31,10,14,25
78,26,9,3,34,30,7,9,25
79,42,4,1,46,43,5,4,42
80,19,24,12,32,33,11,23,23
81,24,24,12,36,25,20,15,32
82,26,17,20,22,24,20,14,33
83,23,16,5,37,26,10,3,39
84,33,8,2,43,40,3,6,38
85,13,15,2,42,17,13,6,35
86,20,9,3,41,36,2,9,29
87,13,6,4,15,19,1,6,10
88,21,20,4,37,28,9,3,36
89,12,25,13,28,32,7,18,18
90,29,15,25,21,27,19,33,13
91,27,10,7,36,30,10,12,22
92,23,11,14,28,32,9,14,24
93,28,13,17,28,39,4,19,21
94,19,24,15,30,29,15,19,25
95,9,27,1,46,24,13,7,38
96,39,5,4,43,41,3,12,33
97,24,9,13,26,36,5,10,28
98,27,17,23,17,23,19,25,18
99,32,11,16,29,43,5,15,29
100,30,16,6,42,40,5,12,34
101,32,12,24,22,39,5,33,14
102,32,7,7,38,36,4,11,33
103,28,16,0,45,43,2,13,25
104,35,9,7,37,40,3,12,28
105,35,5,8,40,37,2,6,36
106,20,19,26,13,23,16,25,21
107,18,27,13,32,24,20,27,18
108,37,8,4,42,37,7,7,41
109,21,22,0,46,39,4,23,21
110,30,18,18,28,27,18,13,34
111,40,7,1,47,44,2,10,38
112,35,7,14,28,39,3,18,24
113,35,9,7,39,37,9,8,38
114,30,4,1,43,37,6,1,42
115,29,17,16,32,33,14,14,33
116,36,7,7,41,36,7,10,38
117,39,4,9,37,37,4,10,38
118,19,28,16,32,24,23,20,28
119,35,11,7,39,31,15,16,30
120,24,17,17,30,24,17,12,31
121,34,6,6,39,33,6,7,38
122,20,15,7,29,25,10,16,22
123,20,5,3,22,20,10,8,26
124,33,13,11,37,36,10,15,31
125,24,7,8,34,23,11,9,30
126,24,12,3,44,33,5,9,38
127,37,4,1,38,38,4,10,27
128,34,1,1,42,44,1,4,35
129,30,7,4,39,27,13,7,36
130,24,14,8,36,30,5,11,33
131,27,10,10,36,39,6,20,22
132,30,10,6,39,31,6,6,42
133,29,10,5,33,38,1,10,27
134,28,6,6,37,22,14,6,34
135,38,8,22,23,30,16,35,13
136,22,10,5,30,22,10,3,40
137,11,36,16,32,24,23,23,25
138,32,3,4,31,24,3,1,39
139,21,18,18,20,29,12,27,17
140,44,2,5,41,39,5,3,44
141,42,5,2,46,45,1,3,45
142,18,19,9,36,21,19,16,30
143,25,18,10,36,35,5,15,29
144,27,16,26,21,32,14,28,18
145,19,24,17,30,34,14,21,27
146,21,23,5,40,34,12,21,22
147,26,20,29,19,31,16,29,18
148,30,16,19,27,32,11,14,32
149,28,16,12,35,27,14,16,31
150,24,18,9,36,36,11,17,29
151,29,8,5,37,35,3,8,34
152,25,15,11,36,34,12,7,40
153,36,7,2,45,38,4,0,47
154,20,24,15,32,36,12,27,21
155,37,10,11,34,35,12,8,40
156,40,4,8,36,41,4,14,32
157,29,5,6,40,33,5,4,44
158,19,20,34,9,8,32,35,7
159,24,16,15,29,33,13,16,29
160,20,21,23,18,17,24,23,21
161,38,2,7,39,39,2,10,38
162,31,14,25,19,25,18,25,18
163,19,28,14,33,22,25,20,28
164,36,5,2,38,32,4,12,31
165,32,3,4,38,41,0,9,32
166,9,32,8,36,12,27,10,33
167,27,4,2,37,29,7,3,43
168,33,8,10,34,40,3,13,29
169,33,14,37,10,30,16,30,17
170,13,22,6,32,11,21,11,30
171,32,14,30,18,27,18,23,22
172,33,10,13,33,36,12,19,29
173,24,4,8,25,28,6,16,21
174,29,13,8,39,41,3,17,28
175,28,9,4,40,39,7,3,41
176,42,1,4,42,35,5,12,32
177,28,16,5,41,36,8,16,31
178,28,11,2,45,38,1,22,20
179,15,15,11,28,20,12,13,25
180,15,23,11,27,23,18,11,28
181,37,5,7,41,40,3,7,38
182,21,18,22,14,25,14,32,10
183,23,20,10,32,30,13,22,22
184,39,6,3,45,42,6,8,39
185,29,9,9,37,32,7,6,39
186,18,10,8,27,33,7,17,16
187,22,23,19,22,20,24,20,23
188,36,7,3,38,45,2,14,28
189,39,3,11,34,43,2,6,36
190,22,14,15,25,22,18,14,27
191,15,11,14,30,24,8,14,23
192,27,20,21,26,28,19,21,27
193,23,21,16,30,26,19,9,37
194,18,25,8,34,23,24,22,21
195,13,30,14,33,14,32,15,27
196,30,6,3,40,28,9,5,37
197,23,18,18,28,21,22,16,28
198,22,26,13,34,33,14,19,28
199,43,3,2,45,41,3,3,43
200,27,10,5,40,27,10,2,43
201,34,13,1,43,34,9,6,39
202,23,21,15,33,24,18,18,25
203,7,8,9,26,24,3,12,16
204,26,20,12,35,34,11,19,24
205,31,11,0,46,45,1,4,38
206,24,20,23,23,29,18,28,19
