"Subject","t09","t10","t11","t12","t13","t14","t15","t16"
2,35,8,8,34,37,5,9,34
3,25,21,14,31,22,25,10,35
4,24,13,8,31,36,6,9,31
5,30,2,0,37,35,2,2,31
6,32,10,3,40,41,3,8,34
7,13,17,15,14,29,7,17,14
8,32,2,8,20,28,5,3,23
9,3,10,0,38,8,9,1,34
10,30,11,6,35,35,8,8,28
11,31,7,3,32,38,0,4,35
12,24,15,19,23,25,12,24,17
13,34,7,6,32,39,2,8,27
14,26,18,27,17,26,17,17,22
15,15,4,2,19,18,2,4,14
16,31,16,24,23,26,21,21,23
17,25,8,6,17,23,5,7,26
18,24,15,7,27,28,11,8,25
19,18,11,4,19,19,4,6,15
20,29,18,23,24,34,13,17,27
21,30,3,6,34,34,7,4,32
22,26,18,18,26,31,16,29,15
23,15,29,3,42,35,9,23,19
24,27,19,14,29,39,7,27,19
25,23,12,9,24,31,7,9,18
26,32,9,22,22,20,22,15,31
27,24,7,6,30,30,4,6,29
28,39,8,18,26,35,10,7,40
29,17,24,11,28,32,11,11,30
30,24,19,20,17,36,7,27,16
31,25,11,27,8,29,10,29,7
32,23,14,4,30,33,4,12,13
33,21,19,13,29,31,16,19,28
34,27,19,21,23,35,13,30,17
35,20,1,2,18,18,2,3,17
36,27,17,23,21,19,20,22,22
37,4,42,4,44,6,40,8,40
38,21,21,13,33,25,17,13,29
39,32,5,9,23,32,2,6,24
40,40,5,3,44,44,1,5,41
41,27,14,6,33,43,1,22,13
42,38,5,2,40,39,3,12,27
43,39,6,9,34,31,14,5,39
44,34,10,11,35,30,12,13,29
45,26,20,15,29,27,18,21,25
46,28,14,15,29,30,16,10,31
47,26,18,9,32,33,10,26,19
48,21,9,11,19,19,12,6,27
49,33,4,3,37,38,3,4,34
50,36,8,14,30,38,5,23,16
51,27,19,18,29,21,23,16,28
52,30,8,3,35,38,2,6,31
53,30,12,24,17,30,15,30,9
54,9,31,5,32,26,9,17,15
55,31,10,6,28,32,6,9,21
56,19,13,12,19,20,12,6,22
57,42,2,5,31,36,5,2,33
58,30,15,3,36,40,3,17,22
