id,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16
9466292,15,0,14,1,15,0,14,1,14,1,11,4,15,0,15,0
9466428,13,2,14,1,14,1,15,0,15,0,15,0,13,2,14,1
9466488,15,0,13,2,15,0,15,0,14,1,15,0,15,0,14,1
9466645,13,2,14,1,15,0,15,0,15,0,14,1,14,1,15,0
9466647,13,2,15,0,14,1,14,1,14,1,15,0,13,2,15,0
9466661,13,2,13,2,15,0,13,2,15,0,13,2,14,1,12,3
9467043,13,2,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9467449,15,0,14,1,15,0,14,1,14,1,15,0,15,0,15,0
9467694,14,1,11,4,14,1,14,1,14,1,13,2,14,1,15,0
9468014,15,0,15,0,15,0,15,0,14,1,15,0,15,0,15,0
9468037,15,0,15,0,15,0,15,0,14,1,15,0,15,0,15,0
9468402,15,0,15,0,15,0,15,0,15,0,14,1,15,0,14,1
9468785,12,3,14,1,14,1,14,1,12,3,12,3,14,1,12,3
9468965,15,0,13,2,14,1,15,0,15,0,15,0,14,1,14,1
9470133,14,1,15,0,15,0,15,0,13,2,15,0,15,0,15,0
9470139,14,1,15,0,15,0,15,0,15,0,13,2,15,0,13,2
9472298,14,1,15,0,15,0,15,0,15,0,15,0,14,1,15,0
9472480,15,0,12,3,14,1,15,0,14,1,14,1,13,2,13,2
9472494,15,0,15,0,15,0,15,0,13,2,13,2,15,0,15,0
9473258,15,0,15,0,14,1,15,0,14,1,15,0,15,0,15,0
9474034,15,0,14,1,15,0,15,0,14,1,15,0,15,0,14,1
9474239,13,2,11,4,13,2,12,3,15,0,13,2,12,3,15,0
9474564,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9474580,12,3,11,4,11,4,11,4,13,2,11,4,15,0,14,1
9474610,13,2,13,2,15,0,14,1,15,0,12,3,14,1,15,0
9475179,15,0,15,0,15,0,15,0,15,0,15,0,15,0,14,1
9475251,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9475278,15,0,15,0,15,0,15,0,13,2,15,0,15,0,15,0
9476103,15,0,13,2,14,1,13,2,11,4,14,1,14,1,13,2
9476245,15,0,13,2,14,1,15,0,15,0,14,1,14,1,14,1
9476488,14,1,13,2,15,0,15,0,15,0,15,0,15,0,15,0
9476569,15,0,13,2,15,0,15,0,15,0,15,0,15,0,15,0
9476607,11,4,12,3,15,0,15,0,15,0,15,0,15,0,14,1
9476956,14,1,15,0,15,0,15,0,14,1,14,1,15,0,15,0
9477564,12,3,12,3,12,3,14,1,15,0,15,0,13,2,15,0
9478317,15,0,15,0,15,0,15,0,15,0,14,1,14,1,15,0
9478789,15,0,15,0,15,0,14,1,12,3,15,0,15,0,14,1
9479238,14,1,15,0,14,1,15,0,15,0,15,0,15,0,15,0
9479243,13,2,11,4,13,2,13,2,15,0,14,1,8,7,11,4
9479487,13,2,13,2,14,1,14,1,12,3,13,2,13,2,14,1
9479883,15,0,15,0,15,0,14,1,15,0,15,0,15,0,15,0
9480455,15,0,14,1,15,0,14,1,15,0,15,0,15,0,15,0
9480656,15,0,15,0,14,1,14,1,14,1,14,1,11,4,13,2
9481300,14,1,15,0,15,0,15,0,15,0,15,0,14,1,15,0
9483353,15,0,15,0,14,1,15,0,14,1,15,0,15,0,14,1
9483834,9,6,15,0,11,4,9,6,13,2,13,2,13,2,14,1
9484606,14,1,14,1,12,3,13,2,14,1,15,0,15,0,15,0
9484753,13,2,14,1,15,0,15,0,15,0,15,0,15,0,13,2
9485031,15,0,13,2,15,0,15,0,13,2,14,1,14,1,11,4
9485666,12,3,15,0,15,0,14,1,14,1,14,1,14,1,13,2
9485815,14,1,15,0,13,2,15,0,15,0,14,1,14,1,14,1
9486048,12,3,12,3,15,0,14,1,12,3,14,1,15,0,15,0
9486434,14,1,14,1,15,0,13,2,14,1,15,0,12,3,15,0
9486498,15,0,14,1,15,0,15,0,14,1,15,0,13,2,15,0
9486557,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9486590,15,0,14,1,14,1,14,1,14,1,14,1,14,1,14,1
9486788,15,0,13,2,15,0,15,0,14,1,14,1,15,0,13,2
9487205,14,1,15,0,15,0,15,0,15,0,15,0,15,0,13,2
9487651,15,0,15,0,15,0,15,0,15,0,15,0,14,1,15,0
9487998,15,0,14,1,14,1,15,0,15,0,14,1,15,0,14,1
9488007,14,1,14,1,15,0,15,0,13,2,15,0,15,0,15,0
9488605,14,1,14,1,15,0,15,0,14,1,15,0,14,1,14,1
9489621,12,3,15,0,14,1,13,2,15,0,15,0,15,0,14,1
9489905,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9490013,13,2,11,4,12,3,11,4,13,2,9,6,11,4,9,6
9490421,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9490853,14,1,12,3,11,4,15,0,10,5,14,1,14,1,14,1
9491886,15,0,14,1,14,1,15,0,15,0,15,0,15,0,14,1
9492361,12,3,14,1,14,1,14,1,12,3,13,2,13,2,13,2
9492509,15,0,15,0,15,0,15,0,14,1,15,0,15,0,15,0
9493348,12,3,15,0,13,2,15,0,14,1,13,2,13,2,13,2
9494192,15,0,15,0,15,0,15,0,15,0,15,0,14,1,15,0
9494538,15,0,13,2,14,1,14,1,15,0,13,2,15,0,15,0
9494898,14,1,13,2,15,0,15,0,14,1,13,2,14,1,14,1
9495232,13,2,15,0,15,0,15,0,15,0,14,1,14,1,14,1
9495247,15,0,14,1,14,1,15,0,13,2,15,0,15,0,15,0
9495334,15,0,15,0,15,0,14,1,15,0,15,0,15,0,15,0
9495996,15,0,14,1,14,1,14,1,14,1,15,0,15,0,15,0
9496049,15,0,13,2,15,0,15,0,15,0,14,1,15,0,15,0
9496121,13,2,14,1,15,0,15,0,12,3,13,2,15,0,14,1
9496418,14,1,13,2,14,1,14,1,13,2,14,1,13,2,15,0
9496779,5,10,13,2,15,0,15,0,12,3,4,11,15,0,15,0
9497083,14,1,15,0,15,0,15,0,15,0,15,0,14,1,14,1
9497222,14,1,8,7,14,1,15,0,15,0,15,0,15,0,15,0
9497449,14,1,14,1,13,2,15,0,15,0,13,2,15,0,14,1
9497502,12,3,14,1,15,0,14,1,13,2,15,0,14,1,14,1
9497669,15,0,15,0,15,0,15,0,15,0,14,1,15,0,15,0
9497753,12,3,10,5,12,3,9,6,12,3,11,4,12,3,12,3
9497847,15,0,15,0,15,0,13,2,15,0,15,0,15,0,14,1
9498288,15,0,14,1,14,1,12,3,14,1,14,1,14,1,14,1
9498372,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9498729,11,4,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9498731,15,0,15,0,15,0,14,1,13,2,15,0,15,0,15,0
9498769,15,0,15,0,15,0,15,0,14,1,15,0,15,0,14,1
9499036,15,0,13,2,15,0,15,0,14,1,15,0,15,0,15,0
9499221,13,2,14,1,15,0,14,1,15,0,15,0,15,0,15,0
9499235,14,1,13,2,15,0,15,0,14,1,14,1,14,1,14,1
9499729,15,0,15,0,15,0,15,0,10,5,10,5,10,5,10,5
9499857,14,1,15,0,15,0,15,0,15,0,15,0,14,1,14,1
9499995,15,0,14,1,15,0,14,1,15,0,15,0,15,0,15,0
9500097,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9500199,14,1,15,0,15,0,14,1,15,0,12,3,13,2,14,1
9500854,15,0,15,0,15,0,15,0,15,0,15,0,14,1,15,0
9500977,14,1,15,0,14,1,13,2,15,0,15,0,15,0,15,0
9501070,15,0,15,0,15,0,15,0,15,0,15,0,13,2,15,0
9501292,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9502346,15,0,15,0,15,0,14,1,14,1,11,4,15,0,14,1
9502378,15,0,13,2,15,0,14,1,14,1,15,0,13,2,15,0
9502983,14,1,14,1,15,0,15,0,13,2,14,1,14,1,14,1
9503730,13,2,14,1,14,1,14,1,14,1,13,2,13,2,12,3
9503941,15,0,15,0,15,0,14,1,10,5,14,1,13,2,12,3
9504610,15,0,15,0,15,0,14,1,15,0,15,0,12,3,13,2
9504612,15,0,15,0,15,0,15,0,15,0,15,0,15,0,14,1
9504911,14,1,15,0,14,1,14,1,11,4,13,2,12,3,12,3
9505204,14,1,15,0,14,1,15,0,15,0,15,0,13,2,13,2
9505322,14,1,14,1,14,1,14,1,15,0,15,0,11,4,15,0
9506031,13,2,15,0,15,0,14,1,15,0,15,0,15,0,14,1
9506839,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9507429,15,0,15,0,14,1,15,0,13,2,15,0,14,1,15,0
9507666,15,0,13,2,15,0,14,1,11,4,15,0,15,0,13,2
9507755,14,1,14,1,15,0,15,0,15,0,14,1,14,1,15,0
9508535,14,1,14,1,15,0,14,1,15,0,13,2,14,1,14,1
9442326,14,1,15,0,15,0,15,0,15,0,14,1,15,0,15,0
9442525,15,0,15,0,15,0,15,0,15,0,14,1,14,1,15,0
9442557,15,0,15,0,15,0,14,1,14,1,14,1,15,0,14,1
9442594,15,0,15,0,15,0,14,1,14,1,14,1,15,0,14,1
9442615,15,0,15,0,15,0,15,0,14,1,14,1,14,1,13,2
9442737,13,2,14,1,14,1,14,1,15,0,15,0,15,0,14,1
9443220,15,0,15,0,15,0,15,0,15,0,15,0,14,1,15,0
9443455,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9443523,15,0,14,1,14,1,14,1,13,2,15,0,15,0,15,0
9443795,15,0,13,2,15,0,15,0,14,1,15,0,15,0,14,1
9443957,15,0,14,1,13,2,13,2,13,2,11,4,15,0,14,1
9444504,15,0,14,1,14,1,14,1,15,0,12,3,15,0,15,0
9444981,11,4,11,4,15,0,14,1,14,1,14,1,15,0,14,1
9445123,15,0,11,4,15,0,15,0,15,0,15,0,15,0,15,0
9445320,15,0,14,1,14,1,13,2,13,2,15,0,12,3,15,0
9445355,14,1,15,0,12,3,13,2,15,0,15,0,15,0,15,0
9445912,15,0,15,0,14,1,13,2,13,2,12,3,12,3,13,2
9446025,15,0,15,0,15,0,15,0,14,1,15,0,15,0,15,0
9446556,11,4,14,1,14,1,11,4,12,3,11,4,13,2,13,2
9446769,11,4,11,4,12,3,14,1,14,1,12,3,15,0,15,0
9446790,15,0,14,1,15,0,14,1,11,4,15,0,14,1,15,0
9447781,15,0,15,0,15,0,15,0,15,0,15,0,14,1,12,3
9447871,14,1,12,3,14,1,15,0,12,3,10,5,15,0,13,2
9448330,14,1,14,1,15,0,15,0,14,1,15,0,14,1,15,0
9448337,15,0,15,0,14,1,15,0,13,2,15,0,14,1,15,0
9448420,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9448743,15,0,14,1,15,0,15,0,15,0,14,1,15,0,15,0
9448754,14,1,14,1,13,2,15,0,13,2,14,1,14,1,15,0
9448783,13,2,12,3,15,0,15,0,15,0,15,0,12,3,14,1
9448785,14,1,13,2,15,0,15,0,13,2,15,0,14,1,15,0
9448974,15,0,15,0,15,0,15,0,15,0,15,0,14,1,15,0
9449729,15,0,15,0,15,0,15,0,13,2,14,1,14,1,14,1
9450008,15,0,15,0,15,0,15,0,12,3,13,2,14,1,15,0
9450085,15,0,13,2,12,3,14,1,13,2,14,1,12,3,13,2
9450415,14,1,14,1,15,0,15,0,14,1,15,0,15,0,15,0
9450516,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9450553,14,1,14,1,15,0,14,1,14,1,15,0,14,1,14,1
9450735,15,0,15,0,15,0,15,0,14,1,13,2,14,1,15,0
9450839,14,1,15,0,15,0,15,0,14,1,13,2,15,0,15,0
9450848,13,2,14,1,13,2,14,1,15,0,13,2,12,3,9,6
9450996,15,0,15,0,15,0,15,0,15,0,15,0,14,1,15,0
9451855,12,3,14,1,15,0,15,0,14,1,15,0,15,0,14,1
9451886,15,0,13,2,15,0,13,2,13,2,13,2,14,1,12,3
9452035,12,3,15,0,15,0,15,0,14,1,10,5,12,3,12,3
9452581,15,0,14,1,15,0,15,0,15,0,14,1,15,0,15,0
9452585,15,0,14,1,15,0,15,0,14,1,14,1,15,0,13,2
9452903,14,1,14,1,15,0,13,2,13,2,12,3,14,1,9,6
9453353,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9453431,13,2,15,0,14,1,15,0,15,0,15,0,14,1,11,4
9453551,14,1,14,1,15,0,15,0,9,6,13,2,12,3,14,1
9453710,13,2,15,0,15,0,15,0,15,0,15,0,15,0,14,1
9453851,14,1,15,0,15,0,14,1,15,0,15,0,13,2,13,2
9454154,15,0,14,1,15,0,15,0,15,0,15,0,15,0,15,0
9455038,15,0,15,0,15,0,15,0,15,0,13,2,15,0,15,0
9455147,15,0,15,0,14,1,15,0,15,0,15,0,15,0,14,1
9455256,14,1,14,1,15,0,14,1,13,2,12,3,14,1,13,2
9455423,13,2,15,0,12,3,13,2,15,0,14,1,14,1,13,2
9455430,14,1,15,0,14,1,15,0,11,4,11,4,11,4,13,2
9455483,15,0,15,0,15,0,14,1,15,0,15,0,15,0,15,0
9456109,15,0,14,1,15,0,15,0,14,1,12,3,15,0,13,2
9456610,15,0,15,0,15,0,15,0,15,0,15,0,13,2,15,0
9456865,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9457035,15,0,12,3,15,0,15,0,14,1,15,0,15,0,15,0
9457084,15,0,15,0,15,0,15,0,11,4,13,2,15,0,14,1
9457273,14,1,15,0,15,0,15,0,15,0,14,1,14,1,14,1
9457410,15,0,15,0,15,0,15,0,15,0,15,0,13,2,13,2
9457573,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
9458826,15,0,15,0,15,0,15,0,15,0,14,1,15,0,15,0
9459595,15,0,15,0,15,0,14,1,15,0,14,1,13,2,14,1
9459910,15,0,15,0,15,0,15,0,14,1,12,3,15,0,12,3
9460334,15,0,15,0,14,1,15,0,14,1,12,3,14,1,11,4
9461259,15,0,13,2,14,1,15,0,15,0,12,3,15,0,15,0
9461370,15,0,14,1,11,4,14,1,14,1,15,0,15,0,10,5
9461998,13,2,12,3,15,0,14,1,14,1,12,3,13,2,13,2
9462350,12,3,13,2,14,1,12,3,12,3,15,0,15,0,15,0
9462719,15,0,15,0,14,1,14,1,14,1,15,0,13,2,13,2
9462997,15,0,14,1,15,0,15,0,15,0,14,1,15,0,15,0
9463184,15,0,15,0,15,0,14,1,13,2,15,0,14,1,15,0
9463452,15,0,14,1,15,0,15,0,13,2,14,1,13,2,15,0
9463617,15,0,15,0,15,0,15,0,8,7,15,0,13,2,15,0
9464938,15,0,14,1,15,0,14,1,13,2,13,2,14,1,14,1
9465213,14,1,15,0,15,0,15,0,13,2,15,0,15,0,15,0
