"Subject"	"Task"	"C_black"	"A_black"	"C_white"	"A_gun_white"	"A_tool_white"	"AResid"	"C_mean"	"IMS"	"EMS"	"Observer"
2	"WIT"	0.77	0.53	0.51	0.36	0.64	-0.06	0.64	8	4.8	"Absent"
3	"WIT"	0.28	0.34	0	0.28	0.72	-0.24	0.14	9	3.8	"Present"
4	"WIT"	0.63	0.79	0.69	0.5	0.5	0.18	0.66	9	2.6	"Absent"
5	"WIT"	0.87	0.47	0.85	0.15	0.85	-0.08	0.86	9	2.2	"Present"
6	"WIT"	0.71	0.58	0.73	0.39	0.61	-0.02	0.72	9	4.2	"Absent"
7	"WIT"	0.01	0.62	0	0.65	0.35	-0.02	0.005	8	7.8	"Present"
8	"WIT"	0.66	0.74	0.85	0.47	0.53	0.13	0.755	7.4	5	"Absent"
9	"WIT"	0	1	0.03	1	0	0.3	0.015	9	3.6	"Present"
10	"WIT"	0.46	0.36	0.32	0.47	0.53	-0.25	0.39	9	5.8	"Absent"
11	"WIT"	0.66	0.93	0.69	0.51	0.49	0.31	0.675	8.6	6	"Present"
12	"WIT"	0.39	0.53	0.26	0.3	0.7	-0.05	0.325	8.2	2.2	"Absent"
13	"WIT"	0.52	0.48	0.61	0.47	0.53	-0.13	0.565	5.2	5.4	"Present"
14	"WIT"	0.56	0.67	0.5	0.41	0.59	0.07	0.53	9	5.6	"Absent"
15	"WIT"	0.41	0.85	0.44	0.21	0.79	0.29	0.425	8.6	5	"Present"
16	"WIT"	0.51	0.44	0.38	0.25	0.75	-0.13	0.445	9	5.4	"Absent"
17	"WIT"	0.28	0.37	0.38	0.35	0.65	-0.22	0.33	8	3.6	"Present"
18	"WIT"	0.55	0.61	0.43	0.57	0.43	-0.02	0.49	8.2	6.8	"Absent"
19	"WIT"	0.64	0.73	0.59	0.61	0.39	0.1	0.615	7.2	4.4	"Present"
20	"WIT"	0.48	0.61	0.46	0.44	0.56	0.01	0.47	8	5.6	"Absent"
21	"WIT"	0.8	0.68	0.66	0.61	0.39	0.05	0.73	9	6.8	"Present"
22	"WIT"	0	0.77	0.17	0.34	0.66	0.18	0.085	5.2	5.6	"Absent"
23	"WIT"	0.38	0.82	0.51	0.23	0.77	0.25	0.445	6.6	5.6	"Present"
24	"WIT"	0.27	0.73	0.3	0.68	0.32	0.09	0.285	4.8	7	"Absent"
25	"WIT"	0.61	0.46	0.6	0.28	0.72	-0.12	0.605	8.2	4.2	"Present"
26	"WIT"	0.44	0.39	0.42	0.54	0.46	-0.23	0.43	9	2	"Absent"
27	"WIT"	0.67	0.84	0.62	0.37	0.63	0.25	0.645	7.8	4	"Present"
28	"WIT"	0.23	0.55	0.23	0.59	0.41	-0.08	0.23	5.2	3.6	"Absent"
29	"WIT"	0.21	0.65	0.18	0.5	0.5	0.04	0.195	5.4	6.6	"Present"
30	"WIT"	0.4	0.49	0.22	0.24	0.76	-0.08	0.31	8.8	6.2	"Absent"
31	"WIT"	0.83	0	0.21	0.42	0.58	-0.6	0.52	7.2	8.4	"Present"
32	"WIT"	0.03	0.64	0.1	0.39	0.61	0.04	0.065	9	2.2	"Absent"
33	"WIT"	0.23	0.73	0.22	0.24	0.76	0.16	0.225	8.2	4.4	"Present"
34	"WIT"	0.55	0.62	0.55	0.24	0.76	0.05	0.55	6.4	4.6	"Absent"
35	"WIT"	0.81	1	0.74	0.44	0.56	0.4	0.775	9	2.8	"Present"
36	"WIT"	0.21	0.58	0.1	0.51	0.49	-0.04	0.155	7	6.4	"Absent"
37	"WIT"	0	0.58	0	0.88	0.12	-0.1	0	9	3.6	"Present"
38	"WIT"	0.21	0.56	0.21	0.58	0.42	-0.07	0.21	9	6.4	"Absent"
39	"WIT"	0.6	0.59	0.66	0.51	0.49	-0.03	0.63	7.8	2.6	"Present"
40	"WIT"	0.81	0.12	0.94	0.67	0.33	-0.52	0.875	6.8	3	"Absent"
41	"WIT"	0.27	0.82	0.45	0.28	0.72	0.24	0.36	8.4	2.4	"Present"
42	"WIT"	0.91	0.76	0.98	1	0	0.06	0.945	9	5.8	"Absent"
43	"WIT"	0.96	1	0.69	0.44	0.56	0.4	0.825	7.2	4.6	"Present"
44	"WIT"	0.25	0.72	0.34	0.52	0.48	0.1	0.295	6.8	5.8	"Absent"
45	"WIT"	0.35	0.62	0.6	0.67	0.33	-0.02	0.475	8	6.4	"Present"
46	"WIT"	0.55	0.57	0.61	0.28	0.72	-0.01	0.58	5.8	2	"Absent"
47	"WIT"	0.59	0.37	0.56	0.25	0.75	-0.2	0.575	6.4	4.6	"Present"
48	"WIT"	0.34	0.47	0.38	0.51	0.49	-0.15	0.36	8.6	1.8	"Absent"
49	"WIT"	0.74	0.67	0.81	0.38	0.62	0.08	0.775	8.6	7.4	"Absent"
50	"WIT"	0.27	0.67	0.25	0.51	0.49	0.05	0.26	6.4	6.6	"Present"
51	"WIT"	0	0.46	0	0.5	0.5	-0.15	0	9	1.8	"Present"
52	"WIT"	0.7	0.45	0.67	0.15	0.85	-0.1	0.685	8.6	2.6	"Absent"
53	"WIT"	0.75	0.74	0.6	0.49	0.51	0.13	0.675	5.8	8.4	"Present"
54	"WIT"	0.38	0.89	0.33	0.28	0.72	0.31	0.355	4.8	7.2	"Absent"
55	"WIT"	0.42	0.66	0.48	0.61	0.39	0.03	0.45	9	4.2	"Present"
56	"WIT"	0.58	0.56	0.59	0.41	0.59	-0.04	0.585	6.2	5.2	"Absent"
57	"WIT"	0.84	0.69	0.75	0.39	0.61	0.09	0.795	6.2	2.2	"Present"
58	"WIT"	0.72	0.92	0.72	0.58	0.42	0.29	0.72	8.4	7.2	"Absent"
59	"WIT"	0.57	0.58	0.7	0.19	0.81	0.02	0.635	9	7	"Present"
