"Subject"	"Observer"	"BNcor"	"BPcor"	"BNfa"	"BPfa"	"APT_BlackC"	"APT_BlackA"	"WPcor"	"WNcor"	"WPfa"	"WNfa"	"APT_WhiteC"	"APT_WhiteA"	"APT_DiffA"	"APT_MeanC"	"APT_AResid"	"BGcor"	"BTcor"	"BGfa"	"BTfa"	"WIT_BlackC"	"WIT_BlackA"	"WTcor"	"WGcor"	"WTfa"	"WGfa"	"WIT_WhiteC"	"WIT_WhiteA"	"WIT_DiffA"	"WIT_MeanC"	"WIT_AResid"	"WIT_MeanC.stand"	"WIT_AResid.stand"	"WIT_DiffA.stand"	"AP_MeanC.stand"	"AP_AResid.stand"	"AP_DiffA.stand"
55	"Present"	28	31	6	10	0.375	0.333333333333333	32	21	6	9	0.479166666666667	0.36	-0.0266666666666666	0.427083333333333	-0.023685226060415	36	24	9	15	0.4375	0.555555555555556	26	31	12	8	0.375	0.266666666666667	0.288888888888889	0.40625	0.091311033666473	-0.0123657715690639	0.530196933136258	1.12111906859638	0.400631242031026	-0.167420244662865	0.263872824866381
56	"Absent"	19	19	12	13	0.125	0.309523809523809	20	22	12	6	0.291666666666667	0.176470588235294	0.133053221288515	0.208333333333333	0.015135908688711	36	26	8	8	0.583333333333333	0.4	35	31	7	10	0.520833333333333	0.434782608695652	-0.0347826086956521	0.552083333333333	-0.075306560639391	0.595130860787494	-0.456427317863552	-0.3004923720415	-0.581084854674989	0.106466171371656	1.13305666193393
57	"Present"	31	42	5	2	0.604166666666667	0.105263157894737	36	33	5	2	0.708333333333333	0.142857142857143	-0.037593984962406	0.65625	-0.177653926354528	40	33	2	4	0.75	0.333333333333333	37	34	4	6	0.645833333333333	0.352941176470588	-0.0196078431372549	0.697916666666667	-0.136588056311993	1.20262749314405	-0.819305020065502	-0.233842634613877	1.42909572429447	-1.25368255455058	0.204407165537755
58	"Absent"	36	30	3	15	0.4375	0.555555555555556	40	22	3	17	0.479166666666667	0.68	-0.124444444444445	0.458333333333333	0.089334822264674	45	31	1	11	0.708333333333333	0.785714285714286	37	38	7	5	0.666666666666667	0.3125	0.473214285714286	0.6875	0.318453927829699	1.15923487654716	1.87522108114026	1.930702534804	0.540876398703314	0.629945833785006	-0.268226622214841
59	"Present"	25	34	0	0	0.520833333333333	0	35	19	0	4	0.645833333333333	0.235294117647059	-0.235294117647059	0.583333333333333	-0.314461829860307	37	27	8	9	0.583333333333333	0.45	34	28	2	9	0.520833333333333	0.391304347826087	0.0586956521739131	0.552083333333333	-0.022445688548794	0.595130860787495	-0.143412245530662	0.110077499247202	1.10185702539247	-2.21887397975069	-0.871462359012801
60	"Absent"	36	43	5	4	0.666666666666667	0.25	39	39	2	4	0.729166666666667	0.307692307692308	-0.0576923076923077	0.697916666666667	-0.0891682040451786	41	44	6	1	0.833333333333333	0.125	39	35	1	7	0.666666666666667	0.4375	-0.3125	0.75	-0.350485365145053	1.41959057612854	-2.08589558030903	-1.52026681523061	1.61608926652419	-0.629408238249737	0.0950335772348394
61	"Present"	29	20	15	22	0.145833333333333	0.536585365853658	19	18	25	22	-0.0625	0.431372549019608	0.105212816834051	0.0416666666666667	0.155210439242657	22	23	24	24	-0.0416666666666667	0.48	18	25	29	20	-0.0416666666666667	0.4	0.08	-0.0416666666666667	0.00698213703308654	-1.87824828523564	0.0308442997893783	0.20364923735486	-1.32905902359386	1.0947039289504	0.981551236535469
62	"Absent"	35	35	9	7	0.583333333333333	0.35	33	36	12	10	0.479166666666667	0.4	-0.05	0.53125	-0.0206688311308901	40	33	3	6	0.708333333333333	0.428571428571429	32	43	6	2	0.625	0.111111111111111	0.317460317460317	0.666666666666667	-0.0254375287268512	1.07244964335336	-0.161128394218826	1.2466088631431	0.868115097605319	-0.146139321219202	0.136894547721998
63	"Present"	33	37	10	9	0.5	0.375	41	22	5	18	0.479166666666667	0.72	-0.345	0.489583333333333	-0.104871005028023	31	43	13	5	0.541666666666667	0.227272727272727	40	28	5	16	0.5	0.666666666666667	-0.439393939393939	0.520833333333333	-0.263291817849848	0.464953010996804	-1.56957994959463	-2.07760311866251	0.681121555375602	-0.740192838202511	-1.46847367046055
64	"Absent"	34	27	8	14	0.416666666666667	0.5	35	32	9	16	0.395833333333333	0.551724137931034	-0.0517241379310343	0.40625	0.0775542760730556	24	21	24	27	-0.0625	0.529411764705882	31	22	16	24	0.145833333333333	0.585365853658537	-0.0559540889526543	0.0416666666666667	0.0441968178014967	-1.53110735246046	0.251210622399508	-0.393480536811034	0.307134470916168	0.546833075845232	0.127511916405912
65	"Present"	25	24	20	19	0.125	0.452380952380952	35	11	7	36	-0.0208333333333334	0.73469387755102	-0.282312925170068	0.0520833333333333	-0.0325044381831636	24	21	23	21	0.0625	0.466666666666667	27	29	15	17	0.208333333333333	0.447368421052632	0.0192982456140351	0.135416666666667	-0.00946804115684459	-1.14057380308839	-0.0665652493225848	-0.0629615366733321	-1.28231063803643	-0.229640538226082	-1.12733523784087
66	"Absent"	42	33	2	6	0.75	0.5	43	36	2	8	0.729166666666667	0.615384615384616	-0.115384615384616	0.739583333333333	0.0558297056691164	46	35	2	10	0.75	0.833333333333333	35	41	9	7	0.583333333333333	0.35	0.483333333333333	0.666666666666667	0.363605473270606	1.07244964335336	2.14258546056074	1.97514683703929	1.80308280875391	0.393564379134647	-0.218923701418854
67	"Present"	30	23	3	9	0.4375	0.333333333333333	31	31	7	4	0.5625	0.19047619047619	0.142857142857143	0.5	0.0341659255874709	38	31	4	6	0.666666666666667	0.375	30	36	4	3	0.5625	0.142857142857143	0.232142857142857	0.614583333333333	-0.0810978480310968	0.855486560368877	-0.490720362418482	0.871882393316105	0.727869940933031	0.240724563331594	1.18640887922148
68	"Absent"	25	19	6	12	0.270833333333333	0.342857142857143	38	5	1	21	0.354166666666667	0.67741935483871	-0.334562211981567	0.3125	-0.12248292774102	40	16	1	26	0.291666666666667	0.764705882352941	37	3	5	26	0.229166666666667	0.702702702702703	0.0620031796502385	0.260416666666667	0.271770163966087	-0.619862403925622	1.59878368719233	0.124604632268361	-0.113600999100696	-0.864446454757299	-1.41167199875574
69	"Present"	41	39	4	8	0.6875	0.533333333333333	43	35	3	9	0.708333333333333	0.642857142857143	-0.10952380952381	0.697916666666667	0.0797878523697976	37	38	7	6	0.645833333333333	0.352941176470588	36	36	7	8	0.583333333333333	0.4	-0.0470588235294118	0.614583333333333	-0.120076686496325	0.855486560368877	-0.721533125415175	-0.354411260746993	1.61608926652419	0.562591147081624	-0.187029628666732
