"Subject"	"APperfBias"	"WITperfBias"
2	-0.020833333333333	-0.114583333333333
3	0.072916666666667	-0.135416666666667
4	-0.125	-0.0416666666666665
5	-0.114583333333333	-0.197916666666667
6	-0.15625	-0.0624999999999996
7	-0.166666666666667	-0.03125
8	0.072916666666667	-0.0208333333333335
9	-0.0937500000000004	-0.0208333333333331
10	-0.125	0.03125
11	-0.041666666666667	-0.239583333333333
12	-0.0729166666666665	-0.229166666666666
13	-0.104166666666667	0.03125
14	0.052083333333333	-0.104166666666667
15	-0.083333333333333	-0.291666666666667
16	0.052083333333333	-0.114583333333333
17	0.114583333333333	-0.072916666666667
18	-0.0625	-0.010416666666667
19	-0.052083333333333	-0.0416666666666665
20	-0.020833333333333	-0.072916666666667
21	-0.0624999999999996	-0.03125
22	-0.166666666666667	-0.333333333333334
23	-0.447916666666667	-0.364583333333333
24	-0.229166666666667	-0.052083333333333
25	-0.145833333333333	-0.114583333333333
26	0.21875	0.0729166666666665
27	-0.0729166666666665	-0.197916666666667
28	0.1875	0.0208333333333335
29	-0.135416666666667	-0.104166666666667
30	-0.135416666666667	-0.197916666666667
31	-0.0520833333333339	-0.0520833333333336
32	-0.28125	-0.208333333333333
33	-0.114583333333333	-0.302083333333333
34	-0.145833333333333	-0.197916666666667
35	0.010416666666667	-0.135416666666667
36	0.09375	-0.0104166666666665
37	-0.0625000000000003	0.270833333333333
38	-0.083333333333333	-0.0104166666666665
39	0.0104166666666665	0.03125
40	-0.072916666666667	0.0625000000000004
41	-0.375	-0.375
42	-0.145833333333333	-0.020833333333333
43	0.135416666666667	0.0312499999999996
44	-0.0208333333333335	-0.15625
45	-0.0520833333333335	-0.0208333333333335
46	-4.44089209850063e-16	-0.166666666666667
47	-0.208333333333333	-0.104166666666667
48	0.104166666666667	0.010416666666667
49	-0.0833333333333335	-0.0625000000000004
50	-0.166666666666667	-0.125
51	0.052083333333333	0.0312499999999999
52	-0.125	-0.15625
53	-0.0833333333333335	-0.104166666666667
54	-0.354166666666667	-0.354166666666667
55	-0.0833333333333335	-0.072916666666667
56	0.020833333333333	-0.145833333333333
57	0.0833333333333335	-0.104166666666667
