"Subject"	"Task"	"C_black"	"A_neg_black"	"A_pos_black"	"C_white"	"A_neg_white"	"A_pos_white"	"AResid"	"C_mean"	"IMS"	"EMS"	"Observer"
2	"APT"	0.623477297895903	0.494117647058824	0.505882352941176	0.671650055370986	0.36256323777403	0.63743676222597	-0.038848769977492	0.647563676633444	8	4.8	"Absent"
3	"APT"	0.232367149758454	0.594713656387665	0.405286343612335	0.245862884160757	0.705329153605016	0.294670846394984	0.0498092600325949	0.239115016959605	9	3.8	"Present"
4	"APT"	0.443520443520444	0.631382316313823	0.368617683686177	0.632142857142857	0.388349514563107	0.611650485436893	0.0975178051998965	0.53783165033165	9	2.6	"Absent"
5	"APT"	0.9375	1	0	0.885339885339885	0.471428571428572	0.528571428571428	0.463241980468594	0.911419942669943	9	2.2	"Present"
6	"APT"	0.692137320044297	0.773381294964029	0.226618705035971	0.741341991341991	0.263598326359833	0.736401673640167	0.243861664819817	0.716739655693144	9	4.2	"Absent"
7	"APT"	0	0.522799575821845	0.477200424178155	0.257168458781362	0.261761158021713	0.738238841978287	-0.00665606873741555	0.128584229390681	8	7.8	"Present"
8	"APT"	0.65546218487395	0.170731707317073	0.829268292682927	0.733100233100233	0.567685589519651	0.432314410480349	-0.369378787586543	0.694281208987091	7.4	5	"Absent"
9	"APT"	0.230769230769231	1	0	0.442016806722689	0.948795180722892	0.0512048192771084	0.446616077932734	0.33639301874596	9	3.6	"Present"
10	"APT"	0.585365853658537	0.647058823529412	0.352941176470588	0.591731266149871	0.455696202531646	0.544303797468354	0.11084873681703	0.588548559904204	9	5.8	"Absent"
11	"APT"	0.730075187969925	0.682451253481894	0.317548746518106	0.897435897435897	0	1	0.162112324286065	0.813755542702911	8.6	6	"Present"
12	"APT"	0.163003663003663	0.459518599562363	0.540481400437637	0.0903098220171391	0.356521739130435	0.643478260869565	-0.0732374019030584	0.126656742510401	8.2	2.2	"Absent"
13	"APT"	0.671373555840821	0.51953125	0.48046875	0.722648083623693	0.175879396984925	0.824120603015075	-0.00693327251426376	0.697010819732257	5.2	5.4	"Present"
14	"APT"	0	0.4	0.6	0.168753726893262	0.475609756097561	0.524390243902439	-0.136903643392475	0.0843768634466309	9	5.6	"Absent"
15	"APT"	0.694235588972431	0.688524590163934	0.311475409836066	0.677777777777778	0.310344827586207	0.689655172413793	0.15737685541804	0.686006683375104	8.6	5	"Present"
16	"APT"	0.148936170212766	0.4	0.6	0.0759187620889749	0.483516483516484	0.516483516483517	-0.137179021847702	0.11242746615087	9	5.4	"Absent"
17	"APT"	0.496706192358366	0.481675392670157	0.518324607329843	0.609307359307359	0.457063711911357	0.542936288088643	-0.0545823221695827	0.553006775832863	8	3.6	"Present"
18	"APT"	0.409502262443439	0.651340996168582	0.348659003831418	0.475524475524476	0.537777777777778	0.462222222222222	0.112272141701059	0.442513368983957	8.2	6.8	"Absent"
19	"APT"	0.446776611694153	0.685636856368564	0.314363143631436	0.540372670807453	0.378378378378378	0.621621621621622	0.152119623709291	0.493574641250803	7.2	4.4	"Present"
20	"APT"	0.127659574468085	0.439024390243902	0.560975609756098	0.337040618955513	0.417213712618527	0.582786287381473	-0.0958454139389186	0.232350096711799	8	5.6	"Absent"
21	"APT"	0.759090909090909	0.377358490566038	0.622641509433962	0.718157181571816	0.605769230769231	0.394230769230769	-0.164078395616939	0.738624045331362	9	6.8	"Present"
22	"APT"	0.181818181818182	0.5	0.5	0.00048355899419722	0.34059022738268	0.65940977261732	-0.0322011328248214	0.0911508704061895	5.2	5.6	"Absent"
23	"APT"	0.274242424242424	0.908141962421712	0.0918580375782881	0.247835497835498	0.271942446043165	0.728057553956834	0.378331720161149	0.261038961038961	6.6	5.6	"Present"
24	"APT"	0.261375126390293	0.559206023271732	0.440793976728268	0.260869565217391	0.205882352941176	0.794117647058823	0.0316965466031466	0.261122345803842	4.8	7	"Absent"
25	"APT"	0.384415584415584	0.556962025316456	0.443037974683544	0.482456140350877	0.355932203389831	0.644067796610169	0.0242265564219635	0.433435862383231	8.2	4.2	"Present"
26	"APT"	0.280487804878049	0.305084745762712	0.694915254237288	0.150103519668737	0.6163215590743	0.3836784409257	-0.236719660851126	0.215295662273393	9	2	"Absent"
27	"APT"	0.60752688172043	0.575342465753425	0.424657534246575	0.710924369747899	0.406976744186047	0.593023255813953	0.0408291985300544	0.659225625734165	7.8	4	"Present"
28	"APT"	0.420696324951644	0.293823038397329	0.706176961602671	0.628841607565012	0.598726114649682	0.401273885350318	-0.247368547507262	0.524768966258328	5.2	3.6	"Absent"
29	"APT"	0.132582864290181	0.674837779379957	0.325162220620043	0.475893363584799	0.488095238095238	0.511904761904762	0.1374992869579	0.30423811393749	5.4	6.6	"Present"
30	"APT"	0.0175989943431804	0.44977607165707	0.55022392834293	0.209302325581395	0.205882352941176	0.794117647058824	-0.0777334050115153	0.113450659962288	8.8	6.2	"Absent"
31	"APT"	0	0.283714075165807	0.716285924834193	0	0.241448692152917	0.758551307847082	-0.245034119246706	0	7.2	8.4	"Present"
32	"APT"	0.503974562798092	0.762820512820513	0.237179487179487	0.411891891891892	0.183823529411765	0.816176470588235	0.236079309095437	0.457933227344992	9	2.2	"Absent"
33	"APT"	0.21547619047619	0.60546282245827	0.39453717754173	0.25531914893617	0.457142857142857	0.542857142857143	0.0692023511188518	0.23539766970618	8.2	4.4	"Present"
34	"APT"	0.109683794466403	0.46392896781354	0.53607103218646	0.0908687943262411	0.297903461725987	0.702096538274013	-0.0667854543960822	0.100276294396322	6.4	4.6	"Absent"
35	"APT"	0.852380952380952	0.322580645161291	0.677419354838709	0.75	0.4	0.6	-0.211689633410179	0.801190476190476	9	2.8	"Present"
36	"APT"	0.0909090909090909	0.425	0.575	0	0.506329113924051	0.493670886075949	-0.112973548658665	0.0454545454545455	7	6.4	"Absent"
37	"APT"	0.00362318840579701	0.916363636363636	0.0836363636363637	0	0.839160839160839	0.160839160839161	0.366798100086044	0.0018115942028985	9	3.6	"Present"
38	"APT"	0.217391304347826	0.638888888888889	0.361111111111111	0.285714285714286	0.566666666666667	0.433333333333333	0.0988138814109022	0.251552795031056	9	6.4	"Absent"
39	"APT"	0.583614864864865	0.324543610547667	0.675456389452333	0.741176470588235	0.227272727272727	0.772727272727273	-0.203710858066139	0.66239566772655	7.8	2.6	"Present"
40	"APT"	0.825059101654846	0.635135135135135	0.364864864864865	0.869082125603865	0.169741697416974	0.830258302583026	0.108884378713481	0.847070613629356	6.8	3	"Absent"
41	"APT"	0.5046904315197	0.689393939393939	0.310606060606061	0.348701298701299	0.0348953140578265	0.965104685942173	0.16783966316883	0.426695865110499	8.4	2.4	"Present"
42	"APT"	0.83610188261351	0.709459459459459	0.290540540540541	0.620879120879121	0.188405797101449	0.811594202898551	0.18255866280409	0.728490501746316	9	5.8	"Absent"
43	"APT"	0.657364341085271	0.389140271493213	0.610859728506787	0.575252525252525	0.732461355529132	0.267538644470868	-0.156709095322696	0.616308433168898	7.2	4.6	"Present"
44	"APT"	0.533596837944664	0.48728813559322	0.51271186440678	0.404761904761905	0.48	0.52	-0.0497684128533774	0.469179371353284	6.8	5.8	"Absent"
45	"APT"	0.224308300395257	0.560509554140127	0.439490445859873	0.143478260869565	0.467005076142132	0.532994923857868	0.0239055977544641	0.183893280632411	8	6.4	"Present"
46	"APT"	0.325757575757576	0.49438202247191	0.50561797752809	0.408271474019088	0.587813620071685	0.412186379928315	-0.0464294989963658	0.367014524888332	5.8	2	"Absent"
47	"APT"	0.37139689578714	0.650793650793651	0.349206349206349	0.189664082687339	0.286989795918367	0.713010204081633	0.120459333812365	0.280530489237239	6.4	4.6	"Present"
48	"APT"	0.333333333333333	0.45	0.55	0.43108504398827	0.680412371134021	0.319587628865979	-0.0940365853502694	0.382209188660802	8.6	1.8	"Absent"
49	"APT"	0.816891891891892	0.590405904059041	0.409594095940959	0.821566110397946	0.410071942446043	0.589928057553957	0.0557848361148032	0.819229001144919	8.6	7.4	"Absent"
50	"APT"	0.5	0.363636363636364	0.636363636363636	0.293977340488968	0.164695945945946	0.835304054054054	-0.162438657468777	0.396988670244484	6.4	6.6	"Present"
51	"APT"	0.203977798334875	0.518884369552586	0.481115630447414	0.113636363636364	0.58974358974359	0.41025641025641	-0.0219943696201495	0.158807080985619	9	1.8	"Present"
52	"APT"	0.710526315789474	0.727272727272727	0.272727272727273	0.787837837837838	0.235668789808917	0.764331210191083	0.198725837457492	0.749182076813656	8.6	2.6	"Absent"
53	"APT"	0.128919860627178	0.328	0.672	0	0.302325581395349	0.697674418604651	-0.20286843744486	0.0644599303135888	5.8	8.4	"Present"
54	"APT"	0.0898648648648649	0.851521900519673	0.148478099480327	0.211607142857143	0.326160815402039	0.673839184597962	0.31982332064382	0.150736003861004	4.8	7.2	"Absent"
55	"APT"	0.579626972740316	0.580204778156997	0.419795221843003	0.542105263157895	0.344827586206897	0.655172413793103	0.0478560650166498	0.560866117949105	9	4.2	"Present"
56	"APT"	0.206653225806452	0.512071156289708	0.487928843710292	0.410714285714286	0.636363636363636	0.363636363636364	-0.0304312832764587	0.308683755760369	6.2	5.2	"Absent"
57	"APT"	0.815656565656566	0.246575342465753	0.753424657534247	0.820905923344948	0.680933852140078	0.319066147859922	-0.297479405219737	0.818281244500757	6.2	2.2	"Present"
58	"APT"	0.58974358974359	0.8125	0.1875	0.494335122242099	0.137971698113208	0.862028301886792	0.287355740978258	0.542039355992844	8.4	7.2	"Absent"
59	"APT"	1	0	0	0.826086956521739	0	1	-0.520338929195829	0.91304347826087	9	7	"Present"
60	"APT"	0.792942397509081	0.411027568922306	0.588972431077694	0.858196256381168	0.344	0.656	-0.121292320736574	0.825569326945125	9	5	"Absent"
61	"APT"	0.135281385281385	0.60575719649562	0.394242803504381	0	0.508130081300813	0.491869918699187	0.0677209230726047	0.0676406926406926	8.4	6.8	"Present"
62	"APT"	0.628787878787879	0.448979591836735	0.551020408163265	0.515942028985507	0.550898203592814	0.449101796407186	-0.0905462257207553	0.572364953886693	4.6	4.6	"Absent"
63	"APT"	0.571789686552073	0.456906729634002	0.543093270365998	0.441304347826087	0.194552529182879	0.805447470817121	-0.0702081477017295	0.50654701718908	8.25	4.8	"Present"
64	"APT"	0.468060394889663	0.641921397379913	0.358078602620087	0.462121212121212	0.380281690140845	0.619718309859155	0.108337875467806	0.465090803505438	6	5.8	"Absent"
65	"APT"	0.113695090439277	0.498542274052478	0.501457725947522	0.0673758865248227	0.178707224334601	0.821292775665399	-0.0280207370887414	0.0905354884820496	8	6	"Present"
